224
AlexNet
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
epoch:1/101 loss:2.3501|10s train_acc:(538/4208 12.79%)|4s valid_acc:(57/500 11.40%)|0s take:0min remain:26min
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torchvision/models/vgg.py", line 42, in forward
    x = self.features(x)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/container.py", line 92, in forward
    input = module(input)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/conv.py", line 320, in forward
    self.padding, self.dilation, self.groups)
RuntimeError: CUDA out of memory. Tried to allocate 490.00 MiB (GPU 1; 5.94 GiB total capacity; 4.76 GiB already allocated; 179.31 MiB free; 522.64 MiB cached)
112
AlexNet
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
Traceback (most recent call last):
  File "quick_start.py", line 216, in <module>
    net.train(int(args.epoch))
  File "quick_start.py", line 164, in train
    loss = self.train_loss()
  File "quick_start.py", line 105, in train_loss
    predict = self.model(x_gpu)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torchvision/models/alexnet.py", line 44, in forward
    x = x.view(x.size(0), 256 * 6 * 6)
RuntimeError: shape '[40, 9216]' is invalid for input of size 40960
Inception3
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
epoch:1/101 loss:5.5041|17s train_acc:(1603/4208 38.09%)|3s valid_acc:(175/500 35.00%)|0s take:0min remain:36min
epoch:2/101 loss:4.5774|17s train_acc:(1877/4208 44.61%)|3s valid_acc:(204/500 40.80%)|0s take:0min remain:35min
epoch:3/101 loss:3.2815|17s train_acc:(2108/4208 50.10%)|3s valid_acc:(235/500 47.00%)|0s take:1min remain:35min
epoch:4/101 loss:3.4681|17s train_acc:(2379/4208 56.54%)|3s valid_acc:(241/500 48.20%)|0s take:1min remain:35min
epoch:5/101 loss:3.0250|17s train_acc:(2550/4208 60.60%)|3s valid_acc:(274/500 54.80%)|0s take:1min remain:34min
epoch:6/101 loss:4.1360|17s train_acc:(2709/4208 64.38%)|3s valid_acc:(297/500 59.40%)|0s take:2min remain:34min
epoch:7/101 loss:2.9515|16s train_acc:(2883/4208 68.51%)|3s valid_acc:(294/500 58.80%)|0s take:2min remain:33min
epoch:8/101 loss:2.4367|16s train_acc:(2990/4208 71.06%)|3s valid_acc:(311/500 62.20%)|0s take:2min remain:33min
epoch:9/101 loss:4.7852|16s train_acc:(3105/4208 73.79%)|3s valid_acc:(322/500 64.40%)|0s take:3min remain:33min
epoch:10/101 loss:3.0305|16s train_acc:(3211/4208 76.31%)|3s valid_acc:(328/500 65.60%)|0s take:3min remain:32min
epoch:11/101 loss:1.4241|17s train_acc:(3248/4208 77.19%)|3s valid_acc:(322/500 64.40%)|0s take:4min remain:32min
epoch:12/101 loss:1.6133|17s train_acc:(3380/4208 80.32%)|3s valid_acc:(331/500 66.20%)|0s take:4min remain:32min
epoch:13/101 loss:3.6298|16s train_acc:(3485/4208 82.82%)|3s valid_acc:(350/500 70.00%)|0s take:4min remain:31min
epoch:14/101 loss:1.5295|16s train_acc:(3573/4208 84.91%)|3s valid_acc:(354/500 70.80%)|0s take:5min remain:31min
epoch:15/101 loss:2.9369|17s train_acc:(3545/4208 84.24%)|3s valid_acc:(355/500 71.00%)|0s take:5min remain:30min
epoch:16/101 loss:0.7668|16s train_acc:(3687/4208 87.62%)|3s valid_acc:(363/500 72.60%)|0s take:5min remain:30min
epoch:17/101 loss:3.4937|17s train_acc:(3651/4208 86.76%)|3s valid_acc:(354/500 70.80%)|0s take:6min remain:30min
epoch:18/101 loss:1.0372|17s train_acc:(3719/4208 88.38%)|3s valid_acc:(362/500 72.40%)|0s take:6min remain:29min
epoch:19/101 loss:3.3505|17s train_acc:(3756/4208 89.26%)|3s valid_acc:(358/500 71.60%)|0s take:7min remain:29min
epoch:20/101 loss:4.4742|17s train_acc:(3782/4208 89.88%)|3s valid_acc:(363/500 72.60%)|0s take:7min remain:29min
epoch:21/101 loss:3.3366|17s train_acc:(3827/4208 90.95%)|3s valid_acc:(378/500 75.60%)|0s take:7min remain:28min
epoch:22/101 loss:0.5068|17s train_acc:(3850/4208 91.49%)|3s valid_acc:(362/500 72.40%)|0s take:8min remain:28min
epoch:23/101 loss:0.5131|17s train_acc:(3923/4208 93.23%)|3s valid_acc:(370/500 74.00%)|0s take:8min remain:28min
epoch:24/101 loss:0.7757|17s train_acc:(3880/4208 92.21%)|3s valid_acc:(368/500 73.60%)|0s take:8min remain:27min
epoch:25/101 loss:1.3081|17s train_acc:(3922/4208 93.20%)|3s valid_acc:(364/500 72.80%)|0s take:9min remain:27min
epoch:26/101 loss:0.6201|17s train_acc:(3955/4208 93.99%)|3s valid_acc:(377/500 75.40%)|0s take:9min remain:27min
epoch:27/101 loss:2.8424|17s train_acc:(3968/4208 94.30%)|3s valid_acc:(384/500 76.80%)|0s take:10min remain:26min
epoch:28/101 loss:2.4863|17s train_acc:(4031/4208 95.79%)|3s valid_acc:(390/500 78.00%)|0s take:10min remain:26min
epoch:29/101 loss:1.8374|17s train_acc:(3980/4208 94.58%)|3s valid_acc:(390/500 78.00%)|0s take:10min remain:25min
epoch:30/101 loss:0.7266|17s train_acc:(3916/4208 93.06%)|3s valid_acc:(386/500 77.20%)|0s take:11min remain:25min
epoch:31/101 loss:1.0621|17s train_acc:(4026/4208 95.67%)|3s valid_acc:(393/500 78.60%)|0s take:11min remain:25min
epoch:32/101 loss:1.4075|17s train_acc:(3995/4208 94.94%)|3s valid_acc:(385/500 77.00%)|0s take:11min remain:24min
epoch:33/101 loss:1.9492|17s train_acc:(4066/4208 96.63%)|3s valid_acc:(384/500 76.80%)|0s take:12min remain:24min
epoch:34/101 loss:1.4600|17s train_acc:(4072/4208 96.77%)|3s valid_acc:(392/500 78.40%)|0s take:12min remain:24min
epoch:35/101 loss:2.4518|17s train_acc:(3998/4208 95.01%)|3s valid_acc:(371/500 74.20%)|0s take:13min remain:23min
epoch:36/101 loss:3.8525|17s train_acc:(3986/4208 94.72%)|3s valid_acc:(395/500 79.00%)|0s take:13min remain:23min
epoch:37/101 loss:0.1732|17s train_acc:(4026/4208 95.67%)|3s valid_acc:(401/500 80.20%)|0s take:13min remain:23min
epoch:38/101 loss:0.9797|17s train_acc:(3945/4208 93.75%)|3s valid_acc:(377/500 75.40%)|0s take:14min remain:22min
epoch:39/101 loss:3.2332|17s train_acc:(4142/4208 98.43%)|3s valid_acc:(399/500 79.80%)|0s take:14min remain:22min
epoch:40/101 loss:1.2339|17s train_acc:(4113/4208 97.74%)|3s valid_acc:(397/500 79.40%)|0s take:14min remain:22min
epoch:41/101 loss:0.0307|17s train_acc:(4067/4208 96.65%)|3s valid_acc:(393/500 78.60%)|0s take:15min remain:21min
epoch:42/101 loss:0.9559|16s train_acc:(4137/4208 98.31%)|3s valid_acc:(417/500 83.40%)|0s take:15min remain:21min
epoch:43/101 loss:2.4556|17s train_acc:(4160/4208 98.86%)|3s valid_acc:(405/500 81.00%)|0s take:16min remain:21min
epoch:44/101 loss:1.7667|17s train_acc:(4159/4208 98.84%)|3s valid_acc:(397/500 79.40%)|0s take:16min remain:20min
epoch:45/101 loss:0.4083|17s train_acc:(4158/4208 98.81%)|3s valid_acc:(409/500 81.80%)|0s take:16min remain:20min
epoch:46/101 loss:1.0848|17s train_acc:(4160/4208 98.86%)|3s valid_acc:(410/500 82.00%)|0s take:17min remain:19min
epoch:47/101 loss:3.7210|17s train_acc:(4121/4208 97.93%)|3s valid_acc:(396/500 79.20%)|0s take:17min remain:19min
epoch:48/101 loss:0.7068|17s train_acc:(4135/4208 98.27%)|3s valid_acc:(405/500 81.00%)|0s take:17min remain:19min
epoch:49/101 loss:1.1696|17s train_acc:(4101/4208 97.46%)|3s valid_acc:(402/500 80.40%)|0s take:18min remain:18min
epoch:50/101 loss:0.7034|17s train_acc:(4177/4208 99.26%)|3s valid_acc:(403/500 80.60%)|0s take:18min remain:18min
epoch:51/101 loss:0.8050|17s train_acc:(4136/4208 98.29%)|3s valid_acc:(403/500 80.60%)|0s take:19min remain:18min
epoch:52/101 loss:1.9497|16s train_acc:(4151/4208 98.65%)|3s valid_acc:(419/500 83.80%)|0s take:19min remain:17min
epoch:53/101 loss:1.3212|16s train_acc:(4174/4208 99.19%)|3s valid_acc:(413/500 82.60%)|0s take:19min remain:17min
epoch:54/101 loss:1.6482|16s train_acc:(4169/4208 99.07%)|3s valid_acc:(411/500 82.20%)|0s take:20min remain:17min
epoch:55/101 loss:1.6587|16s train_acc:(4151/4208 98.65%)|3s valid_acc:(412/500 82.40%)|0s take:20min remain:16min
epoch:56/101 loss:0.9976|17s train_acc:(4101/4208 97.46%)|3s valid_acc:(404/500 80.80%)|0s take:20min remain:16min
epoch:57/101 loss:2.2685|16s train_acc:(4097/4208 97.36%)|3s valid_acc:(411/500 82.20%)|0s take:21min remain:15min
epoch:58/101 loss:0.3269|17s train_acc:(4186/4208 99.48%)|3s valid_acc:(404/500 80.80%)|0s take:21min remain:15min
epoch:59/101 loss:0.0479|17s train_acc:(4177/4208 99.26%)|3s valid_acc:(419/500 83.80%)|0s take:22min remain:15min
epoch:60/101 loss:5.9011|17s train_acc:(4162/4208 98.91%)|3s valid_acc:(414/500 82.80%)|0s take:22min remain:14min
epoch:61/101 loss:4.5452|17s train_acc:(4166/4208 99.00%)|3s valid_acc:(415/500 83.00%)|0s take:22min remain:14min
epoch:62/101 loss:0.5971|17s train_acc:(4168/4208 99.05%)|3s valid_acc:(421/500 84.20%)|0s take:23min remain:14min
epoch:63/101 loss:1.3734|17s train_acc:(4163/4208 98.93%)|3s valid_acc:(413/500 82.60%)|0s take:23min remain:13min
epoch:64/101 loss:0.0800|17s train_acc:(4188/4208 99.52%)|3s valid_acc:(408/500 81.60%)|0s take:23min remain:13min
epoch:65/101 loss:0.0657|17s train_acc:(4194/4208 99.67%)|3s valid_acc:(414/500 82.80%)|0s take:24min remain:13min
epoch:66/101 loss:0.3174|17s train_acc:(4181/4208 99.36%)|3s valid_acc:(408/500 81.60%)|0s take:24min remain:12min
epoch:67/101 loss:0.5425|17s train_acc:(4184/4208 99.43%)|3s valid_acc:(419/500 83.80%)|0s take:25min remain:12min
epoch:68/101 loss:4.1300|17s train_acc:(4189/4208 99.55%)|3s valid_acc:(416/500 83.20%)|0s take:25min remain:12min
epoch:69/101 loss:0.0448|17s train_acc:(4167/4208 99.03%)|3s valid_acc:(408/500 81.60%)|0s take:25min remain:11min
epoch:70/101 loss:0.6912|17s train_acc:(4187/4208 99.50%)|3s valid_acc:(415/500 83.00%)|0s take:26min remain:11min
epoch:71/101 loss:1.4810|17s train_acc:(4168/4208 99.05%)|3s valid_acc:(412/500 82.40%)|0s take:26min remain:11min
epoch:72/101 loss:1.1508|17s train_acc:(4169/4208 99.07%)|3s valid_acc:(416/500 83.20%)|0s take:26min remain:10min
epoch:73/101 loss:0.6109|17s train_acc:(4191/4208 99.60%)|3s valid_acc:(418/500 83.60%)|0s take:27min remain:10min
epoch:74/101 loss:0.9758|17s train_acc:(4167/4208 99.03%)|3s valid_acc:(411/500 82.20%)|0s take:27min remain:9min
epoch:75/101 loss:1.4555|17s train_acc:(4179/4208 99.31%)|3s valid_acc:(417/500 83.40%)|0s take:28min remain:9min
epoch:76/101 loss:0.0297|17s train_acc:(4126/4208 98.05%)|3s valid_acc:(411/500 82.20%)|0s take:28min remain:9min
epoch:77/101 loss:0.6525|17s train_acc:(4184/4208 99.43%)|3s valid_acc:(406/500 81.20%)|0s take:28min remain:8min
epoch:78/101 loss:0.0659|17s train_acc:(4193/4208 99.64%)|3s valid_acc:(422/500 84.40%)|0s take:29min remain:8min
epoch:79/101 loss:0.0553|17s train_acc:(4195/4208 99.69%)|3s valid_acc:(429/500 85.80%)|0s take:29min remain:8min
epoch:80/101 loss:1.2833|17s train_acc:(4200/4208 99.81%)|3s valid_acc:(410/500 82.00%)|0s take:29min remain:7min
epoch:81/101 loss:0.6176|17s train_acc:(4183/4208 99.41%)|3s valid_acc:(410/500 82.00%)|0s take:30min remain:7min
epoch:82/101 loss:0.5025|17s train_acc:(4191/4208 99.60%)|3s valid_acc:(410/500 82.00%)|0s take:30min remain:7min
epoch:83/101 loss:0.0886|17s train_acc:(4185/4208 99.45%)|3s valid_acc:(426/500 85.20%)|0s take:31min remain:6min
epoch:84/101 loss:2.7169|17s train_acc:(4190/4208 99.57%)|3s valid_acc:(419/500 83.80%)|0s take:31min remain:6min
epoch:85/101 loss:4.0285|17s train_acc:(4198/4208 99.76%)|3s valid_acc:(427/500 85.40%)|0s take:31min remain:6min
epoch:86/101 loss:2.1090|17s train_acc:(4189/4208 99.55%)|3s valid_acc:(421/500 84.20%)|0s take:32min remain:5min
epoch:87/101 loss:0.9538|17s train_acc:(4169/4208 99.07%)|3s valid_acc:(415/500 83.00%)|0s take:32min remain:5min
epoch:88/101 loss:3.4669|17s train_acc:(4197/4208 99.74%)|3s valid_acc:(428/500 85.60%)|0s take:32min remain:4min
epoch:89/101 loss:2.6415|17s train_acc:(4192/4208 99.62%)|3s valid_acc:(422/500 84.40%)|0s take:33min remain:4min
epoch:90/101 loss:0.0984|17s train_acc:(4196/4208 99.71%)|3s valid_acc:(415/500 83.00%)|0s take:33min remain:4min
epoch:91/101 loss:0.0862|17s train_acc:(4207/4208 99.98%)|3s valid_acc:(420/500 84.00%)|0s take:34min remain:3min
epoch:92/101 loss:0.3483|17s train_acc:(4186/4208 99.48%)|3s valid_acc:(422/500 84.40%)|0s take:34min remain:3min
epoch:93/101 loss:0.4212|17s train_acc:(4196/4208 99.71%)|3s valid_acc:(413/500 82.60%)|0s take:34min remain:3min
epoch:94/101 loss:0.9475|17s train_acc:(4201/4208 99.83%)|3s valid_acc:(425/500 85.00%)|0s take:35min remain:2min
epoch:95/101 loss:0.9149|17s train_acc:(4190/4208 99.57%)|3s valid_acc:(417/500 83.40%)|0s take:35min remain:2min
epoch:96/101 loss:1.5273|17s train_acc:(4172/4208 99.14%)|3s valid_acc:(425/500 85.00%)|0s take:35min remain:2min
epoch:97/101 loss:0.0791|17s train_acc:(4195/4208 99.69%)|3s valid_acc:(416/500 83.20%)|0s take:36min remain:1min
epoch:98/101 loss:1.6624|17s train_acc:(4182/4208 99.38%)|3s valid_acc:(426/500 85.20%)|0s take:36min remain:1min
epoch:99/101 loss:0.0107|16s train_acc:(4179/4208 99.31%)|3s valid_acc:(427/500 85.40%)|0s take:37min remain:1min
epoch:100/101 loss:0.4309|16s train_acc:(4177/4208 99.26%)|3s valid_acc:(428/500 85.60%)|0s take:37min remain:0min
epoch:101/101 loss:0.0807|16s train_acc:(4197/4208 99.74%)|3s valid_acc:(425/500 85.00%)|0s take:37min remain:0min
VGG
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
Traceback (most recent call last):
  File "quick_start.py", line 216, in <module>
    net.train(int(args.epoch))
  File "quick_start.py", line 164, in train
    loss = self.train_loss()
  File "quick_start.py", line 105, in train_loss
    predict = self.model(x_gpu)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torchvision/models/vgg.py", line 44, in forward
    x = self.classifier(x)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/container.py", line 92, in forward
    input = module(input)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/linear.py", line 67, in forward
    return F.linear(input, self.weight, self.bias)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/functional.py", line 1352, in linear
    ret = torch.addmm(torch.jit._unwrap_optional(bias), input, weight.t())
RuntimeError: size mismatch, m1: [40 x 4608], m2: [25088 x 4096] at /opt/conda/conda-bld/pytorch_1544176307774/work/aten/src/THC/generic/THCTensorMathBlas.cu:266
56
AlexNet
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
Traceback (most recent call last):
  File "quick_start.py", line 216, in <module>
    net.train(int(args.epoch))
  File "quick_start.py", line 164, in train
    loss = self.train_loss()
  File "quick_start.py", line 105, in train_loss
    predict = self.model(x_gpu)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torchvision/models/alexnet.py", line 44, in forward
    x = x.view(x.size(0), 256 * 6 * 6)
RuntimeError: shape '[40, 9216]' is invalid for input of size 10240
Inception3
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
Traceback (most recent call last):
  File "quick_start.py", line 216, in <module>
    net.train(int(args.epoch))
  File "quick_start.py", line 164, in train
    loss = self.train_loss()
  File "quick_start.py", line 105, in train_loss
    predict = self.model(x_gpu)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torchvision/models/inception.py", line 111, in forward
    x = self.Mixed_7a(x)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torchvision/models/inception.py", line 238, in forward
    branch3x3 = self.branch3x3_2(branch3x3)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torchvision/models/inception.py", line 325, in forward
    x = self.conv(x)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/conv.py", line 320, in forward
    self.padding, self.dilation, self.groups)
RuntimeError: cuDNN error: CUDNN_STATUS_BAD_PARAM
VGG
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
Traceback (most recent call last):
  File "quick_start.py", line 216, in <module>
    net.train(int(args.epoch))
  File "quick_start.py", line 164, in train
    loss = self.train_loss()
  File "quick_start.py", line 105, in train_loss
    predict = self.model(x_gpu)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torchvision/models/vgg.py", line 44, in forward
    x = self.classifier(x)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/container.py", line 92, in forward
    input = module(input)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/linear.py", line 67, in forward
    return F.linear(input, self.weight, self.bias)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/functional.py", line 1352, in linear
    ret = torch.addmm(torch.jit._unwrap_optional(bias), input, weight.t())
RuntimeError: size mismatch, m1: [40 x 512], m2: [25088 x 4096] at /opt/conda/conda-bld/pytorch_1544176307774/work/aten/src/THC/generic/THCTensorMathBlas.cu:266
